"","stim_sex","picID","correct","emotion","race","stimNum","rt","response","partno","sub_sex","acc"
"310","Female","SadFemaleWhite","4","Sad","White","2","7015","5",101,1,0
"410","Female","NeutralFemaleWhite","7","Neutral","White","18","1570","7",101,1,1
"510","Female","SurpriseFemaleWhite2","6","Surprise","White","27","2595","6",101,1,1
"61","Male","NeutralMaleWhite","7","Neutral","White","30","5643","7",101,1,1
"71","Female","HappyFemaleWhite2","3","Happy","white","8","2687","3",101,1,1
"81","Male","DisgustMaleWhite3","5","Disgust","White","15","1270","2",101,1,0
"91","Female","DisgustFemaleWhite3","5","Disgust","White","29","1475","1",101,1,0
"101","Female","HappyFemaleWhite","3","Happy","White","7","2284","3",101,1,1
"111","Male","HappyMaleWhite","3","Happy","White","1","1950","3",101,1,1
"121","Male","HappyMaleWhite2","3","Happy","White","9","1456","7",101,1,0
"131","Female","DisgustFemaleWhite","5","Disgust","White","25","2161","5",101,1,1
"141","Male","SadMaleWhite","4","Sad","White","11","5948","1",101,1,0
"151","Female","HappyFemaleWhite3","3","Happy","White","28","1702","3",101,1,1
"161","Female","FearFemaleWhite","1","Fear","White","13","2286","1",101,1,1
"171","Male","DisgustMaleWhite5","5","Disgust","White","16","3721","3",101,1,0
"181","Male","NeutralMaleWhite2","7","Neutral","White","33","663","7",101,1,1
"191","Male","AngryMaleWhite","2","Angry","White","3","3721","2",101,1,1
"201","Male","DisgustMaleWhite6","5","Disgust","White","17","2172","3",101,1,0
"211","Male","SurpriseMaleWhite2","6","Surprise","White","22","2313","6",101,1,1
"221","Female","AngryFemaleWhite2","2","Angry","White","24","313","7",101,1,0
"231","Female","SurpriseFemaleWhite","6","Surprise","White","5","2026","6",101,1,1
"241","Male","NeutralMaleWhite3","7","Neutral","White","34","269","7",101,1,1
"251","Female","NeutralFemaleWhite2","7","Neutral","White","19","4759","3",101,1,0
"261","Female","SadFemaleWhite2","4","Sad","White","4","2461","4",101,1,1
"273","Female","FearFemaleWhite2","1","Fear","White","23","5181","1",101,1,1
"283","Male","HappyMaleWhite3","3","Happy","White","10","796","3",101,1,1
"293","Female","AngryFemaleWhite","2","Angry","White","6","2969","5",101,1,0
"303","Female","DisgustFemaleWhite2","5","Disgust","White","26","2654","5",101,1,1
"313","Male","FearMaleWhite2","1","Fear","White","32","504","1",101,1,1
"323","Male","FearMaleWhite","1","Fear","White","14","4394","6",101,1,0
"333","Male","AngryMaleWhite2","2","Angry","White","31","1405","2",101,1,1
"343","Male","SurpriseMaleWhite","6","Surprise","White","21","1821","6",101,1,1
"353","Female","NeutralFemaleWhite3","7","Neutral","White","20","3813","7",101,1,1
"274","Female","HappyFemaleWhite3","3","Happy","White","28","2371","3",102,1,1
"284","Male","NeutralMaleWhite2","7","Neutral","White","33","4039","7",102,1,1
"294","Female","HappyFemaleWhite2","3","Happy","white","8","1429","3",102,1,1
